Test_label,n_estimators,max_depth,criterion,max_features,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
n_estimators_1_max_depth_None_criterion_entropy_max_features_auto,1,None,entropy,auto,0.807985814355,0.000612595087491,0.807264356593,0.000674154243345,0.808720032789,0.000553400589546
n_estimators_1_max_depth_None_criterion_entropy_max_features_sqrt,1,None,entropy,sqrt,0.808822478578,0.000553257759543,0.808020043376,0.000482074621992,0.809645325861,0.000695072950148
n_estimators_1_max_depth_None_criterion_gini_max_features_auto,1,None,gini,auto,0.806710127446,0.000823677318311,0.80539964017,0.000972526594621,0.808053285022,0.000709471781187
n_estimators_1_max_depth_None_criterion_gini_max_features_sqrt,1,None,gini,sqrt,0.807105785647,0.00103220991446,0.806043862221,0.00108033497242,0.808195905523,0.00107007471284
n_estimators_1_max_depth_10_criterion_entropy_max_features_auto,1,10,entropy,auto,0.831794183676,0.00488413431467,0.859419218193,0.00304369200906,0.811784362475,0.00645997877705
n_estimators_1_max_depth_10_criterion_entropy_max_features_sqrt,1,10,entropy,sqrt,0.828777120885,0.000743377799786,0.856524295165,0.00329838407361,0.80877457219,0.00262612078623
n_estimators_1_max_depth_10_criterion_gini_max_features_auto,1,10,gini,auto,0.828604556255,0.00825238857766,0.863159823302,0.00565600171309,0.805448533374,0.0110126749432
n_estimators_1_max_depth_10_criterion_gini_max_features_sqrt,1,10,gini,sqrt,0.830742966007,0.00719678052631,0.861695205287,0.00575083138404,0.808925865655,0.00956245089786
n_estimators_1_max_depth_20_criterion_entropy_max_features_auto,1,20,entropy,auto,0.835543776821,0.0015639939084,0.850239598602,0.00283923665088,0.823244101037,0.000777338707616
n_estimators_1_max_depth_20_criterion_entropy_max_features_sqrt,1,20,entropy,sqrt,0.833586526662,0.00100216740724,0.847142114743,0.00159004209346,0.822114321232,0.00132722853291
n_estimators_1_max_depth_20_criterion_gini_max_features_auto,1,20,gini,auto,0.832574791862,0.00171488782332,0.846879351982,0.00141671385176,0.820528800113,0.00214432223372
n_estimators_1_max_depth_20_criterion_gini_max_features_sqrt,1,20,gini,sqrt,0.832647163275,0.000339120291312,0.847383093898,0.0019989226701,0.820357183322,0.000890695673384
n_estimators_5_max_depth_None_criterion_entropy_max_features_auto,5,None,entropy,auto,0.85125446555,0.000380432284156,0.866659668264,0.000575540895508,0.83826978485,0.000322184388279
n_estimators_5_max_depth_None_criterion_entropy_max_features_sqrt,5,None,entropy,sqrt,0.850796501331,0.000579866905729,0.866272181194,0.000482540082074,0.837763056763,0.00065178497896
n_estimators_5_max_depth_None_criterion_gini_max_features_auto,5,None,gini,auto,0.850633240667,0.000482733394162,0.865533411977,0.000469266189045,0.83801682399,0.000490043099877
n_estimators_5_max_depth_None_criterion_gini_max_features_sqrt,5,None,gini,sqrt,0.851010063071,0.000965114234887,0.865892796515,0.00127257219469,0.838402538704,0.000752670141503
n_estimators_5_max_depth_10_criterion_entropy_max_features_auto,5,10,entropy,auto,0.843349415961,0.00368466110769,0.88587327374,0.00181399479208,0.815198543439,0.00593930100846
n_estimators_5_max_depth_10_criterion_entropy_max_features_sqrt,5,10,entropy,sqrt,0.843900828704,0.00193076628205,0.886176977456,0.00199935250739,0.815788827383,0.00351044925137
n_estimators_5_max_depth_10_criterion_gini_max_features_auto,5,10,gini,auto,0.841177720739,0.00688896611852,0.886450603574,0.0041836219545,0.812229548794,0.0115428012909
n_estimators_5_max_depth_10_criterion_gini_max_features_sqrt,5,10,gini,sqrt,0.842395102792,0.00192241409937,0.887893884771,0.00131368734122,0.812747559542,0.00314499377897
n_estimators_5_max_depth_20_criterion_entropy_max_features_auto,5,20,entropy,auto,0.859993782534,0.000270147807555,0.884423836563,0.00044315015218,0.840910456158,0.000522086778977
n_estimators_5_max_depth_20_criterion_entropy_max_features_sqrt,5,20,entropy,sqrt,0.86026896203,0.000698260996776,0.883729776647,0.000202200138598,0.841782297849,0.00120982686987
n_estimators_5_max_depth_20_criterion_gini_max_features_auto,5,20,gini,auto,0.859145814964,0.000389655126307,0.8833689621,0.000530620127524,0.840193613386,0.000540579229912
n_estimators_5_max_depth_20_criterion_gini_max_features_sqrt,5,20,gini,sqrt,0.859378295638,0.000357227334125,0.882938265111,7.52808905641e-05,0.840837939428,0.000611930331387
n_estimators_10_max_depth_None_criterion_entropy_max_features_auto,10,None,entropy,auto,0.861013797048,0.000244088259194,0.870243494063,0.000434905114538,0.852700462533,0.000147116560899
n_estimators_10_max_depth_None_criterion_entropy_max_features_sqrt,10,None,entropy,sqrt,0.860754262972,0.000189873452004,0.869978314985,0.000349965366481,0.852455713453,0.00028124794785
n_estimators_10_max_depth_None_criterion_gini_max_features_auto,10,None,gini,auto,0.86000915902,0.000251433672898,0.86872248335,0.000528055428587,0.852124891151,9.68544705879e-05
n_estimators_10_max_depth_None_criterion_gini_max_features_sqrt,10,None,gini,sqrt,0.860306132851,0.000695096224702,0.868680997945,0.000618425463477,0.852701706543,0.000773330999322
n_estimators_10_max_depth_10_criterion_entropy_max_features_auto,10,10,entropy,auto,0.847792731305,0.00165134985711,0.888378602661,0.00124275119041,0.820230107602,0.00306607250217
n_estimators_10_max_depth_10_criterion_entropy_max_features_sqrt,10,10,entropy,sqrt,0.846898924726,0.00179885699288,0.88938124067,0.00157859821298,0.818487676259,0.00336920331303
n_estimators_10_max_depth_10_criterion_gini_max_features_auto,10,10,gini,auto,0.848291002782,0.00132843836085,0.889351094514,0.00126962231828,0.820442167277,0.00179629891099
n_estimators_10_max_depth_10_criterion_gini_max_features_sqrt,10,10,gini,sqrt,0.8473014877,0.00108436176109,0.889996703033,0.000727061615571,0.818777635259,0.00172424615558
n_estimators_10_max_depth_20_criterion_entropy_max_features_auto,10,20,entropy,auto,0.864880749178,0.000662186429802,0.889808868937,0.000295068195141,0.845411248168,0.000915016309647
n_estimators_10_max_depth_20_criterion_entropy_max_features_sqrt,10,20,entropy,sqrt,0.865582963757,0.000227800686293,0.890092961246,0.000260323286906,0.846354251709,0.000213629086566
n_estimators_10_max_depth_20_criterion_gini_max_features_auto,10,20,gini,auto,0.864998597741,0.000329695773811,0.889589822753,0.000277706297212,0.845733148265,0.000540125400184
n_estimators_10_max_depth_20_criterion_gini_max_features_sqrt,10,20,gini,sqrt,0.864766944591,0.000301940997929,0.889108136463,0.00048982177093,0.845664912676,0.000501842743341
